"id";"paper_DOI";"original_outline";"changed_outline"
0;"10.1016/j.joi.2022.101332";"1.Introduction";"Introduction"
1;"10.1016/j.joi.2022.101332";"2.Methods";"Method"
2;"10.1016/j.joi.2022.101332";"3.Results";"Result"
3;"10.1016/j.joi.2022.101332";"4.Discussion";"Discussion"
4;"10.1016/j.joi.2022.101332";"5.Conclusion";"Conclusion"
5;"10.1016/j.joi.2022.101332";"Funding";""
6;"10.1016/j.joi.2022.101332";"DeclarationofCompetingInterest";""
7;"10.1016/j.joi.2022.101332";"Appendix.Supplementarymaterials";""
8;"10.1016/j.joi.2022.101333";"1.Introduction";"Introduction"
9;"10.1016/j.joi.2022.101333";"2.Relatedwork";"Introduction"
10;"10.1016/j.joi.2022.101333";"3.Methodology";"Method"
11;"10.1016/j.joi.2022.101333";"4.Predictionresult";"Result"
12;"10.1016/j.joi.2022.101333";"5.Discussionandconclusion";"Discussion"
13;"10.1016/j.joi.2022.101333";"CRediTauthorshipcontributionstatement";""
14;"10.1016/j.joi.2022.101333";"Acknowledgment";""
15;"10.1016/j.joi.2022.101333";"AppendixA.Thedetailsoftheninety-onefeaturesofbiomedicalpapers";""
16;"10.1016/j.joi.2022.101322";"1.Introduction";"Introduction"
17;"10.1016/j.joi.2022.101322";"2.Quartiles";"Method"
18;"10.1016/j.joi.2022.101322";"3.Baselinesinsubjectnormalization";"Result"
19;"10.1016/j.joi.2022.101322";"4.Thresholdsforhighlycitedpapers";"Result"
20;"10.1016/j.joi.2022.101322";"5.Discussion";"Discussion"
21;"10.1016/j.joi.2022.101322";"6.Conclusion";"Conclusion"
22;"10.1016/j.joi.2022.101322";"AuthorStatement";""
23;"10.1016/j.joi.2022.101322";"Acknowledgments";""
24;"10.1016/j.joi.2022.101323";"1.Introduction";"Introduction"
25;"10.1016/j.joi.2022.101323";"2.Theoreticalframework";"Introduction"
26;"10.1016/j.joi.2022.101323";"3.Methodology";"Method"
27;"10.1016/j.joi.2022.101323";"4.Anapplicationtosocialmediainfluencers";"Result"
28;"10.1016/j.joi.2022.101323";"5.Conclusions";"Conclusion"
29;"10.1016/j.joi.2022.101323";"Funding";""
30;"10.1016/j.joi.2022.101323";"CRediTauthorshipcontributionstatement";""
31;"10.1016/j.joi.2022.101320";"Introduction";"Introduction"
32;"10.1016/j.joi.2022.101320";"Relatedwork";"Introduction"
33;"10.1016/j.joi.2022.101320";"Thedescendant-awareclusteringalgorithm";"Method"
34;"10.1016/j.joi.2022.101320";"Experiments";"Method"
35;"10.1016/j.joi.2022.101320";"Results";"Result"
36;"10.1016/j.joi.2022.101320";"Conclusion";"Conclusion"
37;"10.1016/j.joi.2022.101320";"CRediTauthorshipcontributionstatement";""
38;"10.1016/j.joi.2022.101320";"Appendix";""
39;"10.1016/j.joi.2022.101319";"1.Introduction";"Introduction"
40;"10.1016/j.joi.2022.101319";"2.Stateoftheart";"Introduction"
41;"10.1016/j.joi.2022.101319";"3.MaincharacteristicsofTESEOdatabase";"Data"
42;"10.1016/j.joi.2022.101319";"4.Methodology";"Method"
43;"10.1016/j.joi.2022.101319";"5.Analysisandresults";"Result"
44;"10.1016/j.joi.2022.101319";"6.Discussion";"Discussion"
45;"10.1016/j.joi.2022.101319";"7.Conclusion";"Conclusion"
46;"10.1016/j.joi.2022.101319";"CRediTauthorshipcontributionstatement";""
47;"10.1016/j.joi.2022.101319";"Acknowledgements";""
48;"10.1016/j.joi.2022.101316";"1.Introduction";"Introduction"
49;"10.1016/j.joi.2022.101316";"2.Methods";"Method"
50;"10.1016/j.joi.2022.101316";"3.Results";"Result"
51;"10.1016/j.joi.2022.101316";"4.Discussionandconclusions";"Discussion"
52;"10.1016/j.joi.2022.101316";"Dataaccessibility";""
53;"10.1016/j.joi.2022.101316";"Funding";""
54;"10.1016/j.joi.2022.101316";"CRediTauthorshipcontributionstatement";""
55;"10.1016/j.joi.2022.101316";"DeclarationofCompetingInterest";""
56;"10.1016/j.joi.2022.101316";"Acknowledgements";""
57;"10.1016/j.joi.2022.101316";"AppendixA.Additionalanalysis";""
58;"10.1016/j.joi.2022.101317";"1.Introduction";"Introduction"
59;"10.1016/j.joi.2022.101317";"2.Background";"Introduction"
60;"10.1016/j.joi.2022.101317";"3.Relevance-basedMPA";"Method"
61;"10.1016/j.joi.2022.101317";"4.Results";"Result"
62;"10.1016/j.joi.2022.101317";"5.Discussion";"Discussion"
63;"10.1016/j.joi.2022.101317";"6.Conclusions";"Conclusion"
64;"10.1016/j.joi.2022.101317";"CRediTauthorshipcontributionstatement";""
65;"10.1016/j.joi.2022.101317";"Acknowledgments";""
66;"10.1016/j.joi.2022.101318";"1.Introduction";"Introduction"
67;"10.1016/j.joi.2022.101318";"2.Methodology";"Method"
68;"10.1016/j.joi.2022.101318";"3.Empiricalstudy";"Result"
69;"10.1016/j.joi.2022.101318";"4.Discussionandconclusions";"Discussion"
70;"10.1016/j.joi.2022.101318";"CRediTauthorshipcontributionstatement";""
71;"10.1016/j.joi.2022.101318";"DeclarationofCompetingInterest";""
72;"10.1016/j.joi.2022.101318";"Acknowledgments";""
73;"10.1016/j.joi.2022.101318";"AppendixE.Supplementarymaterials";""
74;"10.1016/j.joi.2022.101318";"Appendix1:Percentileofthecitationranking";""
75;"10.1016/j.joi.2022.101318";"Appendix2:Adjustmentcitationpercentile";""
76;"10.1016/j.joi.2022.101318";"Appendix3:Definitionofreferencecascades";""
